Date,Open,High,Low,Close,Adj Close,Volume
2019-07-30,17.240000,17.299999,17.010000,17.080000,16.964201,3564900
2019-07-31,17.049999,18.040001,17.010000,17.660000,17.540268,9546600
2019-08-01,17.650000,18.280001,17.059999,18.120001,17.997150,19209100
2019-08-02,18.320000,18.860001,18.270000,18.510000,18.384506,14807700
2019-08-05,19.410000,20.629999,19.389999,20.170000,20.033253,17605400
2019-08-06,19.780001,20.139999,19.340000,19.379999,19.248608,11358700
2019-08-07,20.070000,20.549999,19.180000,19.360001,19.228743,14242000
2019-08-08,19.020000,19.150000,18.230000,18.230000,18.106403,12414400
2019-08-09,18.430000,18.969999,18.299999,18.610001,18.483829,10901200
2019-08-12,18.950001,19.490000,18.820000,19.299999,19.169149,8773600
2019-08-13,19.379999,19.450001,18.080000,18.389999,18.265320,12700400
2019-08-14,19.260000,20.059999,19.120001,20.020000,19.884270,15686300
2019-08-15,19.840000,20.370001,19.680000,19.879999,19.745218,15175000
2019-08-16,19.520000,19.520000,18.920000,19.000000,18.871185,8942400
2019-08-19,18.350000,18.510000,18.190001,18.360001,18.235523,7126300
2019-08-20,18.459999,18.790001,18.340000,18.770000,18.642742,6651700
2019-08-21,18.290001,18.440001,18.219999,18.290001,18.165997,5480000
2019-08-22,18.170000,18.700001,18.030001,18.350000,18.225594,7356500
2019-08-23,18.620001,20.010000,18.260000,19.750000,19.616098,19293500
2019-08-26,19.240000,19.600000,19.090000,19.090000,18.960573,8857200
2019-08-27,18.799999,19.490000,18.709999,19.309999,19.179081,8654900
2019-08-28,19.490000,19.660000,18.879999,18.950001,18.821524,7985100
2019-08-29,18.370001,18.590000,18.090000,18.190001,18.066675,12217400
2019-08-30,17.900000,18.420000,17.900000,18.240000,18.116337,8124400
2019-09-03,18.590000,18.830000,18.389999,18.530001,18.404371,7696400
2019-09-04,18.090000,18.250000,17.930000,17.930000,17.808439,5311200
2019-09-05,17.430000,17.450001,17.059999,17.240000,17.123116,7927700
2019-09-06,17.180000,17.320000,17.090000,17.190001,17.073456,4535400
2019-09-09,17.010000,17.360001,17.010000,17.180000,17.063524,4099900
2019-09-10,17.320000,17.580000,17.180000,17.180000,17.063524,6314900
2019-09-11,17.139999,17.260000,16.820000,16.820000,16.705963,7521000
2019-09-12,16.690001,16.820000,16.469999,16.660000,16.547049,10506400
2019-09-13,16.590000,16.780001,16.530001,16.709999,16.596710,4942700
2019-09-16,16.920000,16.990000,16.790001,16.850000,16.735762,6235400
2019-09-17,16.920000,16.940001,16.719999,16.750000,16.636438,6417500
2019-09-18,16.830000,17.200001,16.690001,16.709999,16.596710,5953400
2019-09-19,16.660000,16.799999,16.469999,16.750000,16.636438,5588600
2019-09-20,16.620001,17.110001,16.570000,17.010000,16.894674,5201000
2019-09-23,17.100000,17.150000,16.860001,16.950001,16.835083,4255300
2019-09-24,16.719999,17.520000,16.660000,17.330000,17.269562,10175200
2019-09-25,17.330000,17.600000,16.930000,17.010000,16.950678,5605000
2019-09-26,17.030001,17.410000,16.990000,17.150000,17.090189,5083900
2019-09-27,17.010000,17.719999,16.980000,17.410000,17.349281,7942200
2019-09-30,17.320000,17.330000,17.040001,17.150000,17.090189,5852500
2019-10-01,17.030001,17.830000,16.889999,17.780001,17.717995,9655000
2019-10-02,18.110001,19.000000,18.110001,18.719999,18.654715,12906400
2019-10-03,18.799999,19.379999,18.280001,18.280001,18.216249,18243500
2019-10-04,18.139999,18.160000,17.510000,17.570000,17.508726,8035600
2019-10-07,17.709999,17.840000,17.400000,17.780001,17.717995,6521400
2019-10-08,18.170000,18.620001,18.010000,18.620001,18.555065,10785800
2019-10-09,18.180000,18.320000,17.879999,18.090000,18.026913,6764200
2019-10-10,18.120001,18.150000,17.549999,17.700001,17.638271,7691000
2019-10-11,17.190001,17.209999,16.740000,17.180000,17.120085,11240600
2019-10-14,17.260000,17.309999,17.120001,17.250000,17.189840,3704500
2019-10-15,17.049999,17.059999,16.600000,16.730000,16.671654,5692100
2019-10-16,16.809999,16.900000,16.690001,16.809999,16.751375,4089100
2019-10-17,16.610001,16.799999,16.510000,16.690001,16.631796,4103900
2019-10-18,16.790001,17.070000,16.660000,16.900000,16.841063,5181900
2019-10-21,16.650000,16.740000,16.530001,16.540001,16.482319,3449100
2019-10-22,16.459999,16.750000,16.420000,16.719999,16.661688,5075200
2019-10-23,16.780001,16.820000,16.570000,16.590000,16.532143,3561900
2019-10-24,16.420000,16.660000,16.389999,16.510000,16.452421,4475300
2019-10-25,16.620001,16.620001,16.209999,16.290001,16.233191,6987700
2019-10-28,16.100000,16.100000,15.950000,16.010000,15.954165,5023300
2019-10-29,16.090000,16.110001,15.900000,16.070000,16.013956,5985500
2019-10-30,16.020000,16.250000,15.850000,15.920000,15.864480,7090500
2019-10-31,15.920000,16.290001,15.920000,16.049999,15.994025,9711900
2019-11-01,15.800000,15.830000,15.600000,15.610000,15.555560,7906300
2019-11-04,15.330000,15.480000,15.320000,15.430000,15.376188,4981800
2019-11-05,15.370000,15.520000,15.340000,15.480000,15.426014,6417000
2019-11-06,15.480000,15.620000,15.410000,15.460000,15.406083,5428800
2019-11-07,15.230000,15.380000,15.110000,15.290000,15.236676,8469700
2019-11-08,15.360000,15.480000,15.190000,15.200000,15.146990,5332500
2019-11-11,15.410000,15.440000,15.250000,15.280000,15.226711,3148700
2019-11-12,15.230000,15.320000,15.040000,15.200000,15.146990,7707200
2019-11-13,15.360000,15.390000,15.110000,15.190000,15.137025,9217700
2019-11-14,15.240000,15.340000,15.100000,15.130000,15.077234,3525000
2019-11-15,14.920000,15.020000,14.790000,14.790000,14.738420,5993400
2019-11-18,14.840000,14.900000,14.730000,14.780000,14.728455,4651200
2019-11-19,14.680000,14.880000,14.670000,14.790000,14.738420,5358600
2019-11-20,14.880000,15.190000,14.800000,14.950000,14.897861,9674700
2019-11-21,14.940000,15.150000,14.920000,15.010000,14.957653,5807400
2019-11-22,14.920000,15.090000,14.890000,14.940000,14.887897,4961100
2019-11-25,14.790000,14.790000,14.590000,14.590000,14.539118,5791500
2019-11-26,14.570000,14.630000,14.460000,14.500000,14.449431,5104100
2019-11-27,14.400000,14.460000,14.300000,14.310000,14.260095,5089800
2019-11-29,14.400000,14.500000,14.350000,14.460000,14.409572,2989600
2019-12-02,14.420000,14.900000,14.420000,14.840000,14.788246,9313200
2019-12-03,15.280000,15.490000,15.130000,15.140000,15.087200,13677900
2019-12-04,14.970000,15.020000,14.760000,14.850000,14.798212,5698800
2019-12-05,14.750000,14.990000,14.750000,14.770000,14.718490,6740300
2019-12-06,14.490000,14.490000,14.320000,14.390000,14.339815,6502300
2019-12-09,14.440000,14.520000,14.330000,14.510000,14.459396,5296300
2019-12-10,14.530000,14.670000,14.420000,14.550000,14.499257,6592400
2019-12-11,14.500000,14.560000,14.400000,14.440000,14.389641,3241900
2019-12-12,14.450000,14.490000,13.960000,14.070000,14.020931,14003900
2019-12-13,14.110000,14.230000,13.870000,14.050000,14.001001,9453400
2019-12-16,13.800000,13.810000,13.670000,13.750000,13.702046,4983700
2019-12-17,13.700000,13.760000,13.670000,13.750000,13.702046,3762500
2019-12-18,13.710000,13.760000,13.670000,13.750000,13.702046,3246200
2019-12-19,13.750000,13.750000,13.580000,13.600000,13.552571,4694000
2019-12-20,13.460000,13.460000,13.330000,13.400000,13.353268,5377500
2019-12-23,13.260000,13.340000,13.260000,13.320000,13.310299,3215600
2019-12-24,13.290000,13.370000,13.290000,13.330000,13.320292,2020900
